creator,format,identifier,publicdate,publisher,related-external-id,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turkle, Brinton","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,Grayscale PDF,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",deepinforest00turk,2010-03-10T19:03:58Z,New York : E.P. Dutton,"urn:isbn:144200391X,urn:oclc:303021196,urn:isbn:0833507508,urn:lccn:76021691,urn:oclc:27928385,urn:isbn:0440843634,urn:oclc:36627542,urn:oclc:767736622,urn:isbn:0140547452,urn:oclc:123573156,urn:oclc:226116751,urn:oclc:748977010,urn:oclc:867931179,urn:isbn:0525286179,urn:oclc:2331399,urn:oclc:247466570,urn:oclc:249354496,urn:oclc:731224442",Deep in the forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseanne Thong,"ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",flyfree00thon,2012-01-18T20:04:08Z,Boyds Mills Press,,Fly free!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spyri, Johanna, 1827-1901,Malvern, Corinne, b. 1905","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,Grayscale PDF,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",heidiadaptedfrom00spyr,2010-03-17T21:37:50Z,"Racine, Wisc.: Western Pub.",,Heidi adapted from the original story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Look, Lenore,Heo, Yumi, ill","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",henrysfirstmoonb00look,2011-09-13T21:57:23Z,New York : Atheneum Books for Young Readers,"urn:isbn:0736793046,urn:oclc:813439344,urn:isbn:0616072562,urn:lccn:98021626,urn:oclc:607458767",Henry's first-moon birthday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morris, Ann, 1930-","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,Grayscale PDF,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",families00morr,2010-07-20T14:12:30Z,[New York] : HarperCollins,"urn:isbn:0688171990,urn:lccn:99037036,urn:oclc:41834902,urn:isbn:0736793038,urn:oclc:813442389,urn:isbn:0736209573,urn:oclc:56190091",Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Creech, Sharon","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,Contents,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",chasingredbird000cree,2012-05-03T14:51:59Z,New York : HarperCollins Publishers,"urn:isbn:0786277793,urn:lccn:2005009878,urn:oclc:59147714,urn:oclc:609024689,urn:isbn:0786279079,urn:isbn:0330342134,urn:oclc:40959312,urn:oclc:859039925,urn:isbn:0613065360,urn:oclc:876329002,urn:isbn:0590032003,urn:lccn:96044128,urn:oclc:318995663,urn:oclc:38488819,urn:oclc:688574538,urn:isbn:0590558994,urn:oclc:505988992,urn:oclc:671246719,urn:isbn:0330397826,urn:oclc:45406308,urn:oclc:474249778,urn:oclc:812951054,urn:oclc:861526148,urn:isbn:0333656318,urn:oclc:43234348,urn:oclc:873343462,urn:oclc:877135450,urn:isbn:0061961310,urn:oclc:796998884,urn:oclc:851561278,urn:oclc:877891625,urn:isbn:1439569231,urn:oclc:264003339,urn:isbn:0064406962,urn:oclc:38818456,urn:oclc:807728029,urn:oclc:41220634,urn:isbn:006026988X,urn:oclc:35586815",Chasing Redbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Wise Brown,"ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",buenasnochesluna00brow_0,2012-03-06T21:38:14Z,Scholastic,"urn:isbn:0590540181,urn:oclc:60030561","Buenas noches, Luna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schanzer, Rosalyn","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",howbenfranklinst00scha,2011-10-25T19:42:43Z,New York : HarperCollins,"urn:isbn:0439634660,urn:oclc:779225610,urn:isbn:0688169945,urn:lccn:2001039498,urn:oclc:47658843",How Ben Franklin stole the lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Paulsen,"ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",howangelpeterson00paul_0,2011-11-28T21:39:43Z,Wendy Lamb Books,"urn:isbn:075693110X,urn:oclc:56329042,urn:isbn:1435234049,urn:oclc:221142694,urn:isbn:1905665148,urn:oclc:236119655,urn:isbn:0440229359,urn:oclc:678614876,urn:oclc:778984966,urn:oclc:849751505,urn:isbn:0385729499,urn:lccn:2002007668,urn:oclc:474807862,urn:oclc:49921982,urn:oclc:748337412,urn:oclc:760001798,urn:oclc:834481964,urn:oclc:861367214,urn:oclc:864454225,urn:isbn:0552548073,urn:oclc:52828969,urn:oclc:828279807,urn:oclc:861938723,urn:isbn:030753099X,urn:oclc:681423131,urn:oclc:869503702",How Angel Peterson got his name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hooks, Bell","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Cloth Cover Detection Log,DjVuTXT,Djvu XML,Dublin Core,Item Tile,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,Log,MARC,MARC Binary,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,Title Page Detection Log,chOCR,hOCR",wherewestandclas0000hook,2020-01-16T17:22:46Z,New York : Routledge,,Where we stand : class matters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Sachar,"ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,WARC CDX Index,Web ARChive GZ,chOCR,hOCR",hoyos00sach,2012-05-04T17:43:20Z,Ediciones SM,"urn:isbn:8434878607,urn:oclc:256916745,urn:oclc:434297361,urn:oclc:434313027,urn:oclc:457810638,urn:oclc:458699210,urn:oclc:50157072,urn:oclc:50947246,urn:oclc:52998557,urn:oclc:61333052,urn:oclc:731335545,urn:oclc:777334956,urn:oclc:795194860,urn:oclc:840611957,urn:oclc:864680939,urn:oclc:77496311,urn:isbn:0613645235,urn:isbn:1404692657",Hoyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Little, Jean, 1932-,Truesdell, Sue, ill","ACS Encrypted EPUB,ACS Encrypted PDF,Abbyy GZ,Animated GIF,Cloth Cover Detection Log,DjVu,DjVuTXT,Djvu XML,Dublin Core,Grayscale PDF,JPEG Thumb,JPEG-Compressed PDF,JSON,LCP Encrypted EPUB,LCP Encrypted PDF,MARC,MARC Binary,MARC Source,METS,Metadata,Metadata Log,OCLC xISBN JSON,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Original JP2 Tar,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR",heyworldhereiam00litt,2010-08-20T16:56:10Z,[New York] : Harper & Row,"urn:isbn:0833547518,urn:oclc:875511684,urn:isbn:0440844088,urn:oclc:25481227,urn:isbn:0919964710,urn:oclc:15900280,urn:oclc:16051715,urn:oclc:680063921,urn:isbn:0060240067,urn:lccn:88010987,urn:oclc:17768553,urn:oclc:865173407,urn:isbn:1550740369,urn:oclc:22275145,urn:oclc:412343469,urn:oclc:476249619,urn:oclc:679749171,urn:oclc:731506086,urn:isbn:092110314X,urn:oclc:670299272,urn:oclc:731506070,urn:isbn:0060239891,urn:oclc:436092742,urn:isbn:0192760823,urn:oclc:21298722,urn:oclc:796040792","Hey world, here I am!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
